"intercept"	"name"	"twitter_name"	"Party"	"Role"	"Age"	"Location"	"University"	"Party2"
1	"Rose Conway-Walsh"	"conwaywalsh"	"Sinn Féin"	"Senator"	48	"North"	"Other"	"Other"
1	"Michelle Mulherin"	"MulherinFG"	"Fine Gael"	"Senator"	46	"North"	"UCD"	"Fine Gael"
1	"Maura Hopkins"	"hopkins_maura"	"Fine Gael"	"Senator"	33	"North"	"Other"	"Fine Gael"
1	"Maria Byrne"	"senatormbyrne"	"Fine Gael"	"Senator"	50	"South"	"Other"	"Fine Gael"
1	"Máire  Devine"	"mairedev"	"Sinn Féin"	"Senator"	45	"Dublin"	"Other"	"Other"
1	"Lynn Ruane"	"SenLynnRuane"	"Independent"	"Senator"	33	"Dublin"	"Other"	"Other"
1	"Lorraine Clifford-Lee"	"LorrCliff"	"Fianna Fáil"	"Senator"	36	"Dublin"	"Other"	"Fianna Fáil"
1	"Joan Freeman"	"SenJoanFreeman"	"Independent"	"Senator"	60	"Dublin"	"Other"	"Other"
1	"Ivana Bacik"	"ivanabacik"	"Labour"	"Senator"	49	"Dublin"	"Other"	"Other"
1	"Grace O'Sullivan"	"GraceOSllvn"	"Green Party"	"Senator"	56	"South"	"Other"	"Other"
1	"Gabrielle McFadden"	"gabmcfadden"	"Fine Gael"	"Senator"	50	"North"	"Other"	"Fine Gael"
1	"Frances Black"	"frances_black"	"Independent"	"Senator"	57	"Dublin"	"Other"	"Other"
1	"Catherine Noone"	"senatornoone"	"Fine Gael"	"Senator"	41	"South"	"Other"	"Fine Gael"
1	"Catherine Ardagh"	"cardagh"	"Fianna Fáil"	"Senator"	35	"Dublin"	"Other"	"Fianna Fáil"
1	"Alice Mary Higgins"	"aliceeire"	"Independent"	"Senator"	42	"North"	"UCD"	"Other"
1	"Anne Rabbitte"	"AnneRabbitte"	"Fianna Fáil"	"TD"	47	"North"	"Other"	"Fianna Fáil"
1	"Brid Smith"	"bridsmithTD"	"AAA-PBP"	"TD"	56	"Dublin"	"Other"	"Other"
1	"Carol Nolan"	"carolno98273399"	"Sinn Féin"	"TD"	39	"South"	"Other"	"Other"
1	"Catherine Martin"	"cathmartingreen"	"Green Party"	"TD"	45	"North"	"UCD"	"Other"
1	"Catherine Martina Ann Connolly"	"catherinegalway"	"Independent"	"TD"	60	"North"	"Other"	"Other"
1	"Catherine Murphy"	"CathMurphyTD"	"Social Democrats"	"TD"	64	"South"	"Other"	"Other"
1	"Clare Daly"	"ClareDalyTD"	"Independent"	"TD"	49	"Dublin"	"Other"	"Other"
1	"Denise Mitchell"	"DMitchellTD"	"Sinn Féin"	"TD"	41	"Dublin"	"Other"	"Other"
1	"Fiona M O'Loughlin"	"Fiona_Kildare"	"Fianna Fáil"	"TD"	52	"South"	"Other"	"Fianna Fáil"
1	"Frances Fitzgerald"	"FitzgeraldFrncs"	"Fine Gael"	"TD"	67	"Dublin"	"UCD"	"Fine Gael"
1	"Heather Humphreys"	"HHumphreysFG"	"Fine Gael"	"TD"	54	"North"	"Other"	"Fine Gael"
1	"Helen McEntee"	"HMcEntee"	"Fine Gael"	"TD"	31	"North"	"Other"	"Fine Gael"
1	"Hildegarde Naughton"	"1Hildegarde"	"Fine Gael"	"TD"	40	"North"	"Other"	"Fine Gael"
1	"Imelda Munster"	"ImeldaMunster"	"Sinn Féin"	"TD"	50	"North"	"Other"	"Other"
1	"Jan O'Sullivan"	"JanOSullivanTD"	"Labour"	"TD"	67	"South"	"Other"	"Other"
1	"Joan Burton"	"joanburton"	"Labour"	"TD"	69	"Dublin"	"UCD"	"Other"
1	"Joan Collins"	"JoanCollinsTD"	"Independent"	"TD"	56	"Dublin"	"Other"	"Other"
1	"Josepha Madigan"	"josephamadigan"	"Fine Gael"	"TD"	47	"Dublin"	"Other"	"Fine Gael"
